Language,Variant,Workload,Performance
csharp,dafny,100000,9503
csharp,dafny,100000,9539
csharp,dafny,100000,9397
csharp,dafny,100000,9314
csharp,dafny,100000,9488
csharp,dafny,100000,9431
csharp,dafny,100000,9814
go,dafny,100000,107418
go,dafny,100000,107639
go,dafny,100000,107401
go,dafny,100000,108368
go,dafny,100000,107933
go,dafny,100000,107981
go,dafny,100000,107806
java,dafny,100000,9450
java,dafny,100000,9554
java,dafny,100000,9413
java,dafny,100000,9587
java,dafny,100000,9770
java,dafny,100000,9500
java,dafny,100000,9261
python,dafny,100000,2203028
python,dafny,100000,2204200
python,dafny,100000,2170336
python,dafny,100000,2248006
python,dafny,100000,2166599
python,dafny,100000,2166015
python,dafny,100000,2224186
csharp,handwritten,100000,8236
csharp,handwritten,100000,8431
csharp,handwritten,100000,8040
csharp,handwritten,100000,8069
csharp,handwritten,100000,7866
csharp,handwritten,100000,8084
csharp,handwritten,100000,8263
go,handwritten,100000,6956
go,handwritten,100000,6947
go,handwritten,100000,6963
go,handwritten,100000,6994
go,handwritten,100000,6901
go,handwritten,100000,6975
go,handwritten,100000,6937
java,handwritten,100000,7915
java,handwritten,100000,8185
java,handwritten,100000,9086
java,handwritten,100000,8235
java,handwritten,100000,8730
java,handwritten,100000,9308
java,handwritten,100000,8293
python,handwritten,100000,436935
python,handwritten,100000,431491
python,handwritten,100000,422821
python,handwritten,100000,435716
python,handwritten,100000,422784
python,handwritten,100000,427159
python,handwritten,100000,430139
